Index, Month, Rain_Zone, Year, Random Number, Fragment_Set,fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment
   38,    1,   38,    1,  0.994168,    1,   0.000,   0.000,   0.000,   0.083,   0.000,   0.000,   0.307,   0.000,   0.104,   0.000,   0.000,   0.000,   0.061,   0.000,   0.153,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.089,   0.000,   0.000,   0.126,   0.000,   0.000,   0.000,   0.000,   0.077
   39,    1,   39,    1,  0.159489,    1,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   1.000,   0.000,   0.000,   0.000,   0.000
   40,    1,   40,    1,  0.458912,    1,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.045,   0.020,   0.057,   0.329,   0.159,   0.023,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.227,   0.054,   0.055,   0.000,   0.000,   0.000,   0.030,   0.000,   0.000
   41,    1,   41,    1,  0.178315,    1,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.023,   0.006,   0.060,   0.299,   0.224,   0.005,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.002,   0.000,   0.121,   0.152,   0.000,   0.000,   0.000,   0.000,   0.013,   0.092,   0.004
   42,    1,   42,    1,  0.105816,    1,   0.000,   0.000,   0.000,   0.039,   0.000,   0.000,   0.000,   0.000,   0.000,   0.046,   0.337,   0.039,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.018,   0.149,   0.000,   0.000,   0.000,   0.000,   0.032,   0.000,   0.071,   0.269,   0.000,   0.000
   43,    1,   43,    1,  0.201435,    1,   0.000,   0.008,   0.000,   0.000,   0.000,   0.000,   0.000,   0.026,   0.008,   0.030,   0.155,   0.300,   0.011,   0.000,   0.001,   0.000,   0.001,   0.000,   0.000,   0.000,   0.001,   0.000,   0.063,   0.212,   0.002,   0.000,   0.000,   0.000,   0.032,   0.148,   0.004
   44,    1,   44,    1,  0.871135,    1,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.043,   0.443,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.015,   0.000,   0.000,   0.000,   0.000,   0.000,   0.035,   0.071,   0.053,   0.247,   0.093,   0.000
   45,    1,   45,    1,  0.755683,    1,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.014,   0.022,   0.012,   0.072,   0.437,   0.024,   0.000,   0.000,   0.000,   0.006,   0.000,   0.000,   0.000,   0.000,   0.014,   0.000,   0.260,   0.003,   0.000,   0.000,   0.000,   0.000,   0.101,   0.034,   0.000
   46,    1,   46,    1,  0.735717,    1,   0.000,   0.000,   0.000,   0.000,   0.000,   0.091,   0.000,   0.000,   0.909,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000
   47,    1,   47,    1,  0.286086,    1,   0.026,   0.043,   0.060,   0.000,   0.009,   0.000,   0.000,   0.060,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.155,   0.052,   0.086,   0.043,   0.000,   0.052,   0.056,   0.030,   0.013,   0.043,   0.000,   0.060,   0.112,   0.047,   0.052
   48,    1,   48,    1,  0.009794,    1,   0.000,   0.000,   0.053,   0.013,   0.006,   0.017,   0.000,   0.028,   0.062,   0.004,   0.006,   0.074,   0.006,   0.083,   0.091,   0.040,   0.004,   0.028,   0.004,   0.004,   0.013,   0.100,   0.142,   0.009,   0.155,   0.004,   0.025,   0.000,   0.028,   0.000,   0.000
   49,    1,   49,    1,  0.769748,    1,   0.006,   0.083,   0.000,   0.002,   0.006,   0.000,   0.000,   0.135,   0.438,   0.012,   0.007,   0.017,   0.000,   0.000,   0.036,   0.026,   0.077,   0.023,   0.014,   0.002,   0.000,   0.000,   0.015,   0.003,   0.027,   0.015,   0.047,   0.007,   0.000,   0.003,   0.000
   50,    1,   50,    1,  0.940040,    1,   0.045,   0.012,   0.027,   0.018,   0.027,   0.000,   0.000,   0.053,   0.001,   0.000,   0.000,   0.114,   0.000,   0.000,   0.000,   0.061,   0.000,   0.000,   0.000,   0.000,   0.000,   0.002,   0.136,   0.022,   0.000,   0.268,   0.008,   0.004,   0.026,   0.125,   0.049
   51,    1,   51,    1,  0.542642,    1,   0.140,   0.012,   0.026,   0.014,   0.036,   0.000,   0.000,   0.016,   0.000,   0.000,   0.000,   0.007,   0.000,   0.000,   0.000,   0.052,   0.000,   0.000,   0.000,   0.000,   0.000,   0.012,   0.095,   0.033,   0.000,   0.315,   0.000,   0.000,   0.016,   0.138,   0.089
   52,    1,   52,    1,  0.045137,    1,   0.000,   0.000,   0.000,   0.000,   0.000,   0.050,   0.023,   0.143,   0.000,   0.039,   0.019,   0.000,   0.081,   0.209,   0.097,   0.128,   0.008,   0.000,   0.000,   0.000,   0.008,   0.004,   0.000,   0.000,   0.000,   0.000,   0.078,   0.000,   0.070,   0.027,   0.015
   53,    1,   53,    1,  0.995523,    1,   0.032,   0.000,   0.037,   0.046,   0.049,   0.000,   0.004,   0.000,   0.000,   0.000,   0.000,   0.000,   0.007,   0.145,   0.128,   0.087,   0.012,   0.014,   0.010,   0.000,   0.014,   0.017,   0.020,   0.044,   0.049,   0.186,   0.007,   0.000,   0.000,   0.093,   0.000
   54,    1,   54,    1,  0.086116,    1,   0.005,   0.002,   0.023,   0.000,   0.004,   0.000,   0.007,   0.021,   0.043,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.013,   0.043,   0.002,   0.027,   0.074,   0.000,   0.000,   0.028,   0.028,   0.021,   0.144,   0.120,   0.155,   0.011,   0.229
   55,    1,   55,    1,  0.295249,    1,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.655,   0.000,   0.000,   0.000,   0.142,   0.203,   0.000,   0.000,   0.000,   0.000
   56,    1,   56,    1,  0.077707,    1,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.342,   0.000,   0.405,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.139,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.114,   0.000,   0.000,   0.000
    1,    1,    1,    1,  0.000048,    1,   0.190,   0.000,   0.000,   0.000,   0.168,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.105,   0.126,   0.000,   0.000,   0.000,   0.000,   0.032,   0.000,   0.000,   0.000,   0.000,   0.105,   0.000,   0.000,   0.274,   0.000,   0.000,   0.000,   0.000
    2,    1,    2,    1,  0.178499,    1,   0.046,   0.000,   0.037,   0.017,   0.034,   0.000,   0.000,   0.324,   0.015,   0.002,   0.015,   0.010,   0.000,   0.000,   0.000,   0.176,   0.000,   0.000,   0.000,   0.000,   0.002,   0.002,   0.088,   0.039,   0.000,   0.110,   0.000,   0.002,   0.015,   0.032,   0.034
    3,    1,    3,    1,  0.528656,    1,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.194,   0.009,   0.029,   0.068,   0.017,   0.013,   0.060,   0.032,   0.104,   0.184,   0.002,   0.019,   0.000,   0.027,   0.000,   0.017,   0.006,   0.024,   0.000,   0.116,   0.080,   0.000,   0.000,   0.000,   0.000
    4,    1,    4,    1,  0.271193,    1,   0.157,   0.000,   0.000,   0.000,   0.024,   0.000,   0.000,   0.243,   0.000,   0.044,   0.000,   0.093,   0.000,   0.000,   0.221,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.072,   0.000,   0.000,   0.000,   0.086,   0.062
    5,    1,    5,    1,  0.170636,    1,   0.000,   0.000,   0.010,   0.000,   0.033,   0.004,   0.000,   0.349,   0.337,   0.000,   0.000,   0.000,   0.000,   0.000,   0.026,   0.000,   0.000,   0.000,   0.000,   0.102,   0.000,   0.000,   0.094,   0.000,   0.000,   0.000,   0.045,   0.000,   0.000,   0.000,   0.000
    6,    1,    6,    1,  0.730620,    1,   0.088,   0.126,   0.002,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.039,   0.000,   0.000,   0.722,   0.014,   0.000,   0.000,   0.006,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.002
    7,    1,    7,    1,  0.470836,    1,   0.000,   0.099,   0.000,   0.000,   0.229,   0.038,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.557,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.076,   0.000,   0.000,   0.000,   0.000
    8,    1,    8,    1,  0.412879,    1,   0.017,   0.055,   0.007,   0.157,   0.009,   0.037,   0.018,   0.008,   0.013,   0.038,   0.000,   0.005,   0.000,   0.000,   0.009,   0.005,   0.284,   0.026,   0.000,   0.000,   0.259,   0.046,   0.000,   0.000,   0.000,   0.000,   0.005,   0.000,   0.000,   0.000,   0.000
    9,    1,    9,    1,  0.365071,    1,   0.190,   0.000,   0.000,   0.000,   0.168,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.105,   0.126,   0.000,   0.000,   0.000,   0.000,   0.032,   0.000,   0.000,   0.000,   0.000,   0.105,   0.000,   0.000,   0.274,   0.000,   0.000,   0.000,   0.000
   10,    1,   10,    1,  0.574868,    1,   0.020,   0.025,   0.012,   0.052,   0.131,   0.106,   0.129,   0.015,   0.017,   0.015,   0.014,   0.011,   0.027,   0.090,   0.014,   0.162,   0.055,   0.002,   0.008,   0.000,   0.002,   0.001,   0.009,   0.002,   0.045,   0.001,   0.001,   0.000,   0.000,   0.033,   0.000
   11,    1,   11,    1,  0.436597,    1,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.242,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.084,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.284,   0.389,   0.000,   0.000,   0.000,   0.000,   0.000
   12,    1,   12,    1,  0.827035,    1,   0.184,   0.000,   0.000,   0.078,   0.000,   0.000,   0.000,   0.004,   0.000,   0.008,   0.024,   0.000,   0.000,   0.000,   0.008,   0.012,   0.000,   0.000,   0.006,   0.000,   0.559,   0.011,   0.000,   0.000,   0.000,   0.000,   0.000,   0.009,   0.052,   0.016,   0.028
   13,    1,   13,    1,  0.916716,    1,   0.043,   0.007,   0.025,   0.020,   0.019,   0.000,   0.000,   0.216,   0.005,   0.000,   0.000,   0.060,   0.000,   0.000,   0.000,   0.000,   0.187,   0.000,   0.003,   0.000,   0.000,   0.000,   0.143,   0.025,   0.000,   0.099,   0.012,   0.000,   0.007,   0.082,   0.048
