Soils_Code	Soil_Component	Soil_Component_Fraction	Soil_Horizon	Soil_Top_Depth	Soil_Bottom_Depth	Available_Water_Content	Hydrologic_Soil_Group_HWB
94	1	1	2	13	30	0.13	2
94	1	1	3	30	40	0	2
95	1	1	1	0	6	0.14	2
95	1	1	2	6	28	0.14	2
95	1	1	3	28	40	0.08	2
95	1	1	4	40	50	0	2
96	1	1	1	0	6	0.14	2
96	1	1	2	6	28	0.14	2
96	1	1	3	28	40	0.08	2
96	1	1	4	40	50	0	2
97	1	1	1	0	6	0.14	2
97	1	1	2	6	28	0.14	2
97	1	1	3	28	40	0.08	2
97	1	1	4	40	50	0	2
98	1	0.55	1	0	5	0.22	4
98	1	0.55	2	5	9	0	4
98	2	0.45	1	0	60	0	4
99	1	1	1	0	8	0.15	2
99	1	1	2	8	39	0.15	2
99	1	1	3	39	57	0.09	2
99	1	1	4	57	65	0.06	2
100	1	1	1	0	20	0.07	2
100	1	1	2	20	40	0	2
101	1	1	1	0	6	0.15	1
101	1	1	2	6	40	0.13	1
101	1	1	3	40	50	0.02	1
102	1	1	1	0	11	0.14	2
102	1	1	2	11	19	0.14	2
102	1	1	3	19	60	0.14	2
103	1	1	1	0	11	0.14	2
103	1	1	2	11	19	0.14	2
103	1	1	3	19	60	0.14	2
104	1	1	1	0	5	0.14	2
104	1	1	2	5	13	0.14	2
104	1	1	3	13	60	0.14	2
105	1	1	1	0	12	0.11	2
105	1	1	2	12	33	0.11	2
105	1	1	3	33	54	0.11	2
106	1	1	1	0	12	0.11	2
106	1	1	2	12	33	0.11	2
106	1	1	3	33	54	0.11	2
107	1	1	1	0	12	0.11	2
107	1	1	2	12	33	0.11	2
107	1	1	3	33	54	0.11	2
108	1	1	1	0	21	0.14	2
108	1	1	2	21	60	0.14	2
109	1	1	1	0	21	0.14	2
109	1	1	2	21	60	0.14	2
110	1	1	1	0	21	0.1	2
110	1	1	2	21	60	0.14	2
111	1	1	1	0	21	0.1	2
111	1	1	2	21	60	0.14	2
112	1	1	1	0	21	0.14	2
112	1	1	2	21	60	0.14	2
113	1	1	1	0	21	0.1	2
113	1	1	2	21	60	0.14	2
114	1	1	1	0	21	0.1	2
114	1	1	2	21	60	0.14	2
115	1	0.9	1	0	10	0.17	4
115	1	0.9	2	10	18	0.15	4
115	1	0.9	3	18	60	0.15	4
115	2	0.1	1	0	10	0.17	4
116	1	1	1	0	9	0.18	2
116	1	1	2	9	33	0.18	2
116	1	1	3	33	60	0.06	2
117	1	1	1	0	6	0.09	1
117	1	1	2	6	55	0.06	1
118	1	1	1	0	6	0.09	1
118	1	1	2	6	55	0.06	1
119	1	0.8	1	0	6	0.09	1
119	1	0.8	2	6	55	0.06	1
119	2	0.2	1	0	60	0	4
120	1	1	1	0	12	0	1
121	1	1	1	0	1	0.05	3
121	1	1	2	1	20	0.13	3
121	1	1	3	20	28	0.09	3
121	1	1	4	28	32	0	3
122	1	1	1	0	15	0.13	3
122	1	1	2	15	32	0.13	3
122	1	1	3	32	42	0	3
123	1	1	1	0	15	0.13	3
123	1	1	2	15	32	0.13	3
123	1	1	3	32	42	0	3
